shibuya-kei,23
shimmer psych,23
smooth saxophone,23
tucson indie,23
western mass indie,23
alternative metal,24
arizona punk,24
atlanta metal,24
canadian post-hardcore,24
canadian punk,24
chicago hardcore,24
chicano punk,24
christian hard rock,24
danish rock,24
easycore,24
funk metal,24
future rock,24
german hard rock,24
german heavy metal,24
german rock,24
glam metal,24
gymcore,24
hard rock,24
industrial metal,24
noise rock,24
nu metal,24
rap metal,24
rap rock,24
sleaze rock,24
southern metal,24
spanish metal,24
welsh metal,24
welsh rock,24
wrestling,24
album rock,25
atlanta indie,25
australian alternative rock,25
australian rock,25
bay area indie,25
beatlesque,25
blues rock,25
boston rock,25
british blues,25
britpop,25
chicago indie,25
classic rock,25
classic russian rock,25
cowpunk,25
e6fi,25
folk punk,25
funk rock,25
futurepop,25
glam rock,25
heartland rock,25
jam band,25
madchester,25
modern big band,25
modern hard rock,25
modern southern rock,25
neue deutsche todeskunst,25
permanent wave,25
psychedelic rock,25
rock,25
scottish rock,25
sound team,25
southern rock,25
spanish new wave,25
supergroup,25
zolo,25
[],26
american folk revival,26
azeri traditional,26
bangla,26
bhajan,26
cabaret,26
classic arab pop,26
disney,26
folclore salteno,26
french movie tunes,26
harlem renaissance,26
jazz orchestra,26
kabarett,26
movie tunes,26
muzica populara,26
romanian rock,26
torch song,26
turkish folk,26
vintage chanson,26
vintage hollywood,26
vintage old-time,26
vintage schlager,26
vintage swedish pop,26
west end,26
anime latino,27
belgian hardcore,27
british power metal,27
chicago punk,27
early us punk,27
eurobeat,27
garage pop,27
german oi,27
glam punk,27
horror punk,27
japanese indie rock,27
japanese jazztronica,27
japanese pop punk,27
melodic hardcore,27
modern ska punk,27
oi,27
orgcore,27
power-pop punk,27
psychobilly,27
punk,27
punk 'n' roll,27
riot grrrl,27
russian alternative rock,27
ska punk,27
skate punk,27
street punk,27
swedish garage rock,27
swedish indie rock,27
uk82,27
virginia punk,27
wyoming indie,27
action rock,28
funeral doom,28
memphis indie,28
uk noise rock,28
argentine hardcore,29
argentine punk,29
beninese pop,29
classic french pop,29
columbus ohio indie,29
german post-hardcore,29
hong kong hip hop,29
j-idol,29
ok indie,29
oshare kei,29
beach music,30
bush ballad,30
cape verdean folk,30
chattanooga indie,30
cumbia peruana,30
estonian hip hop,30
gujarati pop,30
hula,30
italian pop rock,30
morna,30
musica para ninos,30
musique touareg,30
russian chanson,30
samba de roda,30
saskatchewan indie,30
tuareg guitar,30
violao classico,30
western saharan folk,30
york indie,30
industrial hardcore,31
speedcore,31
wave,31
baroque ensemble,32
caucasian classical,32
early music ensemble,32
gregorian chant,32
historically informed performance,32
kodomo no ongaku,32
komedi,32
mallet,32
norwegian choir,32
sarod,32
vintage classical singing,32
violin,32
yoik,32
austrian classical piano,33
classical guitar,33
guitarra clasica,33
hangpan,33
japanese traditional,33
mexican classical,33
musica antigua,33
post-minimalism,33
prepared piano,33
spanish renaissance,33
turkish classical performance,33
albany ny indie,34
dark techno,34
depressive black metal,34
dubsteppe,34
hungarian edm,34
hungarian techno,34
icelandic electronic,34
italian techno,34
bakersfield sound,35
bolero cubano,35
british comedy,35
cha-cha-cha,35
classic colombian pop,35
classic polish pop,35
classic venezuelan pop,35
cuatro venezolano,35
cumbia ranchera,35
deep motown,35
folklore venezolano,35
honky tonk,35
jawaiian,35
jazz chileno,35
jazz venezolano,35
jump blues,35
louisiana blues,35
musica juiz-forana,35
musica llanera,35
musica tradicional cubana,35
new mexico music,35
persian pop,35
pinoy r&b,35
samba moderno,35
son cubano clasico,35
stomp and whittle,35
traditional country,35
western swing,35
anglican liturgy,36
baroque singing,36
british choir,36
british contemporary classical,36
british modern classical,36
cambridge choir,36
canadian choir,36
choral,36
classical contralto,36
early music choir,36
flick hop,36
french orchestra,36
french romanticism,36
middle earth,36
new isolationism,36
polyphony,36
victorian britain,36
abstract hip hop,37
afroswing,37
boston hip hop,37
cali rap,37
chicano rap,37
hyphy,37
jazz boom bap,37
jazz rap,37
nashville hip hop,37
neo r&b,37
oakland hip hop,37
proto-rap,37
rap underground mexicano,37
sacramento hip hop,37
scratch,37
turntablism,37
west coast trap,37
austin americana,38
austin singer-songwriter,38
boston indie,38
british alternative rock,38
contemporary gospel,38
electronic rock,38
french psychedelic,38
gospel,38
gospel r&b,38
hyperpop,38
japanese new wave,38
japanese singer-songwriter,38
kiwi rock,38
ohio indie,38
one-person band,38
pirate,38
pop soul,38
sacred steel,38
swing revival,38
technical deathcore,38
uk contemporary r&b,38
alternative hip hop,39
battle rap,39
beatboxing,39
boom bap,39
bronx hip hop,39
conscious hip hop,39
detroit hip hop,39
east coast hip hop,39
flint hip hop,39
g funk,39
gangster rap,39
hardcore hip hop,39
harlem hip hop,39
hip hop,39
indie hip hop,39
philly rap,39
political hip hop,39
psychedelic hip hop,39
queens hip hop,39
rap conciencia,39
soul flow,39
underground rap,39
west coast rap,39
classic russian pop,40
deep latin alternative,40
detskie pesni,40
russian jazz,40
villancicos,40
wassoulou,40
belgian indie rock,41
eastern bloc groove,41
free folk,41
ghent indie,41
japanese dream pop,41
acid rock,42
canadian psychedelic,42
irish rock,42
italian progressive rock,42
jazz rock,42
lancaster pa indie,42
neo-progressive,42
okc indie,42
pinoy praise,42
pinoy rock,42
praise,42
progressive rock,42
psychedelic blues-rock,42
sheffield indie,42
singaporean singer-songwriter,42
symphonic rock,42
uk worship,42
brazilian ska,43
dark hardcore,43
idol rock,43
japanese metalcore,43
japanese post-hardcore,43
modern swing,43
armenian folk,44
atmosphere,44
background music,44
brazilian classical piano,44
chakra,44
chamber choir,44
classical horn,44
contrabass,44
duduk,44
j-ambient,44
japanese concert band,44
norwegian classical,44
norwegian experimental,44
polish modern jazz,44
sound art,44
spanish classical piano,44
streichquartett,44
ukrainian classical piano,44
c86,45
dark cabaret,45
instrumental surf,45
jacksonville indie,45
jangle pop,45
mexican rock,45
minneapolis indie,45
mod revival,45
power pop,45
protopunk,45
pub rock,45
rock keyboard,45
rock nacional brasileiro,45
steampunk,45
tape club,45
twee pop,45
uk pop punk,45
underground power pop,45
experimental big band,46
greek folk,46
greek guitar,46
italian baroque ensemble,46
turkish modern jazz,46
uilleann pipes,46
brazilian reggae,47
cartoon,47
comedy rap,47
cumbia lagunera,47
dancehall,47
deep ragga,47
dub,47
electro,47
french reggae,47
indiana hip hop,47
kids dance party,47
lovers rock,47
mexican hip hop,47
modern reggae,47
old school dancehall,47
old school hip hop,47
p funk,47
reggae,47
roots reggae,47
salsa choke,47
second line,47
soca,47
acid house,48
aggrotech,48
australian house,48
big beat,48
cinematic post-rock,48
ebm,48
electro-industrial,48
grave wave,48
industrial,48
industrial rock,48
kawaii future bass,48
livetronica,48
minimal wave,48
neue deutsche harte,48
nu skool breaks,48
psychill,48
rochester mn indie,48
vaporwave,48
acoustic punk,49
azontobeats,49
brazilian rock,49
canadian celtic,49
celtic rock,49
classic belgian pop,49
